Name,Probe_Name,Accession
hCP000133,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000134,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000135,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000136,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000137,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000138,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000139,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000140,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000141,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000142,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000143,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000144,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000145,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000146,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000147,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000148,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000149,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000150,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000151,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000152,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000153,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000154,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000155,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000156,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000157,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000158,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000159,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000160,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000161,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000162,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000163,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000164,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000165,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000166,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000167,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000168,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000169,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000170,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000171,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000172,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000173,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000174,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000175,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000176,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000177,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000178,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000179,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000180,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000181,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000182,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000183,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000184,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000185,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000186,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000187,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000188,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000189,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000190,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000191,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000192,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000193,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000194,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000195,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000196,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000197,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000198,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000199,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000200,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000201,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000202,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000203,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000204,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000205,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000206,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000207,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000208,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000209,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000210,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000211,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000212,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000213,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000214,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000215,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000216,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000217,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000218,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000219,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000220,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000221,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000222,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000223,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000224,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000225,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000226,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000227,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000228,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000229,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000230,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000231,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000232,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000233,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000234,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
